Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code,Description
ARTM,AMER NORTEL COMMUN INC,Pink Current,0.022,,0,Common Stock,USA,Arizona,.,3661 - Telephone and telegraph apparatus,"American Nortel Communications, Inc. is a multi-faceted company providing world-wide communications, technology innovations, and unique investment opportunities. Further, American Nortel Communications, Inc. has developed newborhood.com which is a social media platform providing moving information to over 12,000 cities in the United States and contains over 100,000 interactive maps."
AVOT,AMER VIDEO TELECONFRENCNG,Pink Current,0.025,,0,Common Stock,USA,Nevada,.,Not Available,"American Video Teleconferencing Corp. (PINK: AVOT) is in the business of purchasing and renovating residential and commercial real estate properties. The Company strategy is to continue generating additional +revenues through additional real estate renovations and/or rehabbing of residential and commercial dwellings, as well as becoming a domestic and international luxury real estate developer. Additionally, holding high-quality assets to maintain a positive cash flow."
CFNB,CALIFORNIA FIRST LEASING,OTCQX U.S. Premier,16.05,,0,Common Stock,USA,California,.,"7359 - Equipment rental and leasing, misc","California First Leasing Corporation, headquartered in Newport Beach, California, leases and finances capital assets to businesses and other commercial or non-profit organizations throughout the United States while UniversityLease focuses on the financing needs of colleges and universities. In February 2022, CFNB registered as an internally managed non-diversified closed-end investment company under the Investment Company Act of 1940 as the Company may meet the definition of an investment company. The Company actively invests available liquidity in equity securities and at June 30, 2022 equity securities of $131.6 million represented 61% of the Company's total assets. Founded in 1977, CFNB has been publicly traded since 1987."
ANDR,ANDREA ELECTRONICS CORP,OTCQB,0.0291,-11.6844,10500,Common Stock,USA,New York,"2,519,883",3663 - Radio and TV communications equipment,"Andrea Electronics is a pioneer of digital audio input enhancement software, array microphone technologies and is an industry leading developer of product solutions which optimize the performance of voice user interfaces for applications such as; VoIP, Video Conferencing, Speech Recognition, OEM microphone components and assemblies, Computer gaming, In-Car Computing and 3D Audio Recording among others."
SYQH,LIAONING SHUIYUN QINGHE,Pink Current,1.0,,25,Common Stock,China,,"2,290,061",6770 - Blank Checks,Not available
MICR,MICRON SOLUTIONS INC,OTCQB,2.38,,0,Common Stock,USA,Massachusetts,"9,389,742",3845 - Electromedical equipment,"Micron Solutions, Inc. is a world class contract manufacturer for the Medical Device, Defense and Life Sciences markets. Established in 1978, we are located in Fitchburg, Massachusetts. Our specialties include Precision Machining, Thermoplastic Injection Molding, Mold Making and Sensors. Whether it is partnering with clients to help with design for manufacturing on new programs or to support existing applications, Micron Products, Inc. is prepared to commit all resources necessary to find a solution. As a Full Service Supplier, each member of our manufacturing, product design, research and quality teams stand ready to work in collaboration with clients to meet any challenge. Micron Products, Inc. has been supplying the medical industry with world class quality medical components since 1978. ISO 13485 Certified FDA Registered ITAR Registered We operate in over 120,000 Square Feet of Manufacturing Space Process Validations Vertically Integrated to Provide Turnkey Solutions Full Engineering Support Full Prototyping to Production Services Recognized for Superior Quality and Customer Service"
ARTNB,ARTESIAN RES CORP B,OTCQB,50.01,,0,Common Stock,USA,Delaware,"43,014,858",4941 - Water supply,"Artesian Resources Corporation operates as the holding company of wholly owned subsidiaries. Artesian Water Company, the principal subsidiary, is the oldest and largest investor-owned public water utility on the Delmarva Peninsula and has been providing water service in the state of Delaware since 1905. Although our Delaware water business remains our largest business sector, accounting for 90% of our revenues, we have expanded our capabilities and our service area. We provide wastewater service in Delaware and provide water service in Cecil County, Maryland and Pennsylvania."
ATROB,ASTRONICS CORP B,Pink Current,8.335,,1,Common Stock,USA,New York,"51,872,760","3728 - Aircraft parts and equipment, misc",Not available
AMNL,APPLIED MINERALS INC,Pink Current,0.0046,24.3243,4882840,Common Stock,USA,Utah,"2,114,516",1400 - Mining & Quarrying of Nonmetallic Minerals (No Fuels),"Applied Minerals is the leading producer of halloysite clay solutions from its wholly owned Dragon Mine property in Utah. Halloysite is aluminosilicate clay that forms naturally occurring nanotubes. In addition to serving the traditional halloysite markets for use in technical ceramics and catalytic applications, the Company has developed niche applications that benefit from the tubular morphology of its halloysite. These applications include carriers of active ingredients in paints, coatings and building materials, environmental remediation, agricultural applications and high-performance additives & fillers for plastic composites. Applied Minerals markets its halloysite products under the DRAGONITE trade name."
AIFS,AGENT INFORMATION SFTWRE,Pink Current,1.5,,0,Common Stock,USA,California,"7,258,511","7370 - Services-Computer Programming, Data Processing, Etc.",Software as a Service (SaaS)-Library Automation
BBBK,BAKER BOYER BANCORP WALLA,Pink Current,70.8,,0,Common Stock,USA,Washington,"92,236,612","6029 - Commercial banks, misc","Founded in 1869, Baker Boyer Bank is the oldest independently owned community bank in the state. It is headquartered in Walla Walla and has 7 branches, including business banking and trust offices in Kennewick and Yakima. It has 196 employees and $389 million in assets as of March 31, 2005. To learn more about Baker Boyer Bank, visit www.bakerboyer.com. PO Box 1796 7 W Main Walla Walla, WA 99362 (800) 234-7923"
BISA,BALTIC INTL USA INC,Pink Current,0.06,,0,Common Stock,USA,Texas,"479,641",6770 - Blank Checks,Not available
BKUT,BANK OF UTICA NY,Pink Current,540.0,,0,Common Stock,USA,New York,"27,000,000",6022 - State commercial banks,"Bank of Utica provides commercial and personal banking products and services in Utica, New York. The company offers various deposit accounts, including personal checking, business checking, savings, money market, individual retirement, and health savings accounts, as well as certificates of deposit. It also provides various loans. Business loans include business lines of credit, commercial mortgages, long-term loans, short-term loans, accounts receivable and inventory financing, and federal and NYS government loan programs. Personal loans include personal installment loans, vehicle loans, home mortgages, home equity loans, and check credit loans. In addition, the company offers various services, such as online, telephone, mobile and remote deposit capture. Business services including online services offered are ACH origination, check reconciliation, merchant services, funds transfer and management, remote deposit, bill payment, stop payments, and wire transfer services. Bank of Utica was founded in 1927 and is based in Utica, New York."
BRBW,BRUNSWICK BANCORP,Pink Current,15.7,-0.9464,200,Common Stock,USA,New Jersey,"44,603,292",6022 - State commercial banks,"Brunswick Bank & Trust, our primary subsidiary is a full service commercial bank. Our specialties are commercial mortgage and construction financing. If you are buying, refinancing or building, our experienced loan team will take you through the process with flexible terms, competitive rates and the type of personal service only available at a community bank. We will strive to help you maximize returns on every investment opportunity including office and professional buildings, industrial and retail properties, residential tract development project, multi-tenant property, 1031 like-kind exchanges, or a simple refinancing transaction."
BHRB,BURKE & HERBERT BK & TR,Pink Current,2348.0,-0.0851,22,Common Stock,USA,Virginia,"399,134,600","6029 - Commercial banks, misc","Burke & Herbert Financial Services Corp. is the bank holding company for Burke & Herbert Bank & Trust Company. Burke & Herbert Bank & Trust Company is the oldest continuously operating bank under its original name headquartered in the greater Washington DC Metro area. The Bank offers a full range of business and personal financial solutions designed to meet customers' banking, borrowing, and investment needs and has over 20 branches throughout the Northern Virginia region and commercial loan offices in Fredericksburg, Loudoun County, Richmond, and in Bethesda, Maryland."
BURCA,BURNHAM HLDGS INC A,Pink Current,12.76,-1.8462,350,Common Stock,USA,Pennsylvania,"42,795,038","6719 - Holding companies, misc","Burnham Holdings, Inc, is the parent company of multiple subsidiaries that are leading domestic manufacturers of boilers, and related HVAC products and accessories (including furnaces, radiators, and air conditioning systems) for residential, commercial, and industrial applications. The largest subsidiaries of Burnham Holdings, Inc. market under eight well established brand names that are differentiated by product line and markets served."
BZYR,BURZYNSKI RESH INSTITUTE,Pink Current,0.03125,,0,Common Stock,USA,Texas,"3,812,005",2835 - Diagnostic substances,Not available
BUKS,BUTLER NATL CORP,OTCQB,0.65,1.5466,6705,Common Stock,USA,Kansas,"52,437,822",7990 - Services-Miscellaneous Amusement & Recreation,Butler National Corporation operates in the Aerospace and Services industries. The Aerospace segment includes the manufacture of devices for the Boeing 737 and 747 and structural modifications for business aircraft. Management Services includes a diverse group of businesses including casino operations and gaming.
CAWW,CCA INDUS INC,Pink Current,1.2,,0,Common Stock,USA,New Jersey,"6,923,681",2844 - Toilet preparations,Sales and Marketing of Health and Beauty Aids
CCFN,CCFNB BANCORP INC,Pink Current,48.99,,0,Common Stock,USA,Pennsylvania,"93,623,090",6022 - State commercial banks,"CCFNB Bancorp, Inc. is a registered financial holding company, headquartered in Bloomsburg, Pennsylvania. CCFNB Bancorp, Inc. has one subsidiary bank, First Columbia Bank & Trust Co. First Columbia Bank & Trust Co. is a full-service community commercial bank, serving a market area in Columbia, Montour, Luzerne, Lycoming, and Northumberland counties."
CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,11.65,3.0973,200,Common Stock,USA,Rhode Island,"75,370,995","6519 - Lessors of Real Property, NEC","Capital Properties, Inc.'s, and its wholly-owned subsidiary, Tri-State Displays, Inc.'s, operations consist of the long-term leasing of certain of its real estate interests in downtown Providence, Rhode Island, and the leasing of locations along interstate and primary highways in Rhode Island and Massachusetts to Lamar Outdoor Advertising, LLC which has constructed outdoor advertising boards thereon."
CPKF,CHESAPEAKE FINCL SHS INC,OTCQX U.S.,24.0,,0,Common Stock,USA,Virginia,"104,272,685",6712 - Bank holding companies,"Chesapeake Financial Shares, Inc. is a one-bank holding company that was originally chartered in 1900 and is based in Kilmarnock, VA. The holding company operates two subsidiaries, Chesapeake Bank and Chesapeake Wealth Management, Inc. Chesapeake Bank is primarily a lender to small businesses. Personal and business products and services offered include checking, savings, CDs, mortgages, mobile and online banking, e-services comprising an internet branch, and a business cash management program. The Bank currently operates 16 branches; four in the Northern Neck, three in the Middle Peninsula, five in Williamsburg, and four in Richmond. The Bank also offers merchant processing services for credit and debit card transactions. Chesapeake Wealth Management is an independent wealth management firm with $413 million in assets. They offer brokerage, trust, and estate management services."
CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,26.1,,0,Common Stock,USA,Indiana,"44,741,190",6712 - Bank holding companies,"The Company is a bank holding company whose principal activity is the ownership and management of Citizens Bank of Mooresville, IN. Citizens Bank receives deposits and makes commercial, mortgage and consumer loans to individuals and businesses located primarily in Morgan County, Indiana and adjacent counties."
CZBT,CITZNS BANCORP OF VA INC,Pink Current,29.0,,1,Common Stock,USA,Virginia,"61,108,080",6022 - State commercial banks,Not available
CIWV,CITZNS FINCL CORP W VA,Pink Current,19.4,,0,Common Stock,USA,West Virginia,"33,087,883",6022 - State commercial banks,"Citizens Financial Corp. (OTC: CIWV) is the bank holding company of Citizens Bank of West Virginia, Inc. with assets of $481 million and headquartered in Elkins, WV. From six office locations in North Central West Virginia, the bank provides integrated financial services including retail and commercial banking, wealth management, and mortgage services. Citizens Bank was recently ranked 64th in the May 2021 issue of American Banker's Top 200 Publicly Traded Community Banks and Thrifts in the United States. For more information on Citizens Financial Corp or Citizens Bank of West Virginia, Inc., visit us online at www.citizenswv.com."
CEFC,COMML NATL FINCL CRP MICH,Pink Current,10.75,,0,Common Stock,USA,Michigan,"42,627,007",6022 - State commercial banks,"CEFC is a one-bank holding company that wholly-owns Commercial Bank. The Bank serves central and western Michigan communities through 11 offices located in Barry, Gratiot, Ingham, Kent and Montcalm counties. The bank provides a full range of banking services to individuals, agricultural businesses, commercial businesses."
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,14.75,-1.2056,646,Common Stock,USA,Pennsylvania,"41,269,247",6022 - State commercial banks,"Commercial National Financial Corporation is the parent Company of Commercial Bank & Trust of PA. Commercial Bank & Trust of PA began in 1934. The Company operates seven community banking facilities in Hempfield Township, Latrobe, Ligonier, Unity Township and West Newton, Pennsylvania and maintains a commercial business development sales force and operates an asset management and trust division."
CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,18.25,,0,Common Stock,USA,Vermont,"94,861,134",6021 - National commercial banks,"Community Bancorp. conducts, principally, all of the corporations business through its subsidiary, Community National Bank. Since 1851, Community National Bank has been channeling their passions for people and community into the delivery of financial services. Community National Bank, Vermont's Community Bank, is headquartered in Derby, Vermont with other offices located throughout northern and central Vermont."
CNGA,CONAIR CORPORATION NY,Pink Current,0.66,,0,Common Stock,USA,New York,"3,888,121",3585 - Refrigeration and heating equipment,"HVAC design and build contractor specializing in large commercial projects and the service of the same.
in addition, the acquisition of similar companies in the industry."
ACFN,ACORN ENERGY INC,OTCQB,0.47,13.9394,18519,Common Stock,USA,Delaware,"17,472,071",8711 - Engineering services,"Acorn Energy, Inc. is a provider of remote monitoring and control systems and services for generators, pipelines and other industrial assets through its OmniMetrix subsidiary. We currently operate in two reportable operating segments: Power Generation ('PG') monitoring and Corrosion Protection ('CP') monitoring. The PG segment provides wireless remote monitoring and control systems and services for critical energy assets, including stand-by power generators, and Internet of Things (IoT) applications. The CP segment provides for remote monitoring of cathodic protection systems on gas pipelines for gas utilities and pipeline companies and related IoT services. For more information visit: http://www.acornenergy.com."
DBRM,DAYBREAK OIL & GAS INC,Pink Current,0.041,7.3298,251684,Common Stock,USA,Washington,"17,620,881",1311 - Crude petroleum and natural gas,"Daybreak Oil and Gas, Inc. is an independent crude oil and natural gas company engaged in the exploration, development and production of onshore crude oil and natural gas in the United States. Daybreak is developing its shallow crude oil reserves, where we own a 3-D seismic survey that encompasses 20,000 acres over 32 square miles with approximately 3,500 acres under lease in Kern County in the San Joaquin Valley of California. Daybreak owns a 70% working interest in 1,400 acres in the Michigan Basin where we have two shallow crude oil prospects."
DIMC,DIMECO INC,OTCQX U.S. Premier,45.25,,0,Common Stock,USA,Pennsylvania,"112,489,785",6022 - State commercial banks,"Dimeco, Inc. is the parent holding company of The Dime Bank, a Pennsylvania state-chartered bank that serves Northeast Pennsylvania. The Dime Bank offers a full array of financial services including traditional banking products, innovative electronic banking services and a wealth management division."
ELST,ELECTRONIC SYS TECHNOLOGY,Pink Current,0.276,,0,Common Stock,USA,Washington,"1,467,372",3670 - Electronic Components & Accessories,"ESTeem manufacturers a complete line of industrial wireless products available in High Speed Wireless Ethernet, Unlicensed Spread Spectrum and Licensed Narrow Band Serial in the VHF and UHF radio communication bands.  

The industry leader and patent holder on the wireless modem for over 30 years, ESTeem has been providing the industrial control, public safety, and federal markets with proven and reliable wireless solutions. With our latest advancements to the ESTeem Wireless Ethernet line, such as the Model 195E series and high-power licensed wireless Ethernet Model 210, we will again set the standard in the wireless industry!"
ETCC,ENVIRONMENTAL TECTONICS,Pink Current,0.4,,0,Common Stock,USA,Pennsylvania,"3,465,869",3569 - General industrial machinery,"Environmental Tectonics Corporation is principally engaged in the design, manufacture, and sale of software driven products and services used to recreate and monitor the physiological effects of motion on humans and equipment and to control, modify, simulate, and measure environmental conditions. These products include aircrew training systems (aeromedical, tactical combat, and general), disaster management systems, sterilizers (steam and gas), environmental testing products, and other products and services that involve similar manufacturing techniques and engineering technologies. ETC focuses on software enhancements, product extensions, new product development, and new marketplace applications. Sales of its products are made principally to U.S. and foreign government agencies."
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.25,-3.8831,31731,Common Stock,USA,New Jersey,"20,780,089","2836 - Biological products, except diagnostic","Enzon Pharmaceuticals, Inc. is positioned as a public company acquisition vehicle, where the Company can become an acquisition platform and more fully utilize its net operating loss carryforwards and enhance stockholder value."
ENBP,ENB FINANCIAL CORP PA,OTCQX U.S. Premier,18.15,,20,Common Stock,USA,Pennsylvania,"95,627,482",6021 - National commercial banks,"ENB Financial Corp, headquartered in Ephrata, PA, is the bank holding company for its wholly-owned subsidiary Ephrata National Bank. Ephrata National Bank operates from thirteen full-service locations in Lancaster County, southeastern Lebanon County, and southern Berks County, Pennsylvania, with the headquarters located at 31 E. Main Street, Ephrata, PA. Ephrata National Bank has been serving the community since 1881. For more information about ENB Financial Corp, visit the Corporation's web site at https://enbfinancial.q4ir.com/."
DHCC,DIAMONDHEAD CASINO CORP,Pink Current,0.52,32.9923,101,Common Stock,USA,Virginia,"18,297,210",7011 - Hotels and motels,Not available
EXSR,EXCHANGE BK SANTA ROSA,Pink Current,115.0,-3.0844,163,Common Stock,USA,California,"204,864,108",6022 - State commercial banks,Commercial Bank
FFWC,FFW CORPORATION,Pink Current,47.9,1.9149,101,Common Stock,USA,Indiana,"52,589,780",6035 - Federal savings institutions,"Crossroads Bank is a wholly owned subsidiary of FFW Corporation providing an extensive array of banking services and a wide range of investments and securities products through its main office in Wabash and six Indiana banking centers located in Columbia City, North Manchester, Peru, South Whitley, Syracuse and Warsaw. The Bank also provides leasing services at each of its banking centers. Insurance products are offered through an affiliated company, Insurance 1 Services, Inc. The Corporation's stock is traded on the OTC Markets under the symbol FFWC. Our website address is www.crossroadsbanking.com. Crossroads Bank, Member FDIC."
FIDS,FNB INC,Pink Current,31.0,,0,Common Stock,USA,Ohio,"20,188,140",6021 - National commercial banks,"FNB, Inc. is a holding company that owns 100% of The First National Bank of Dennison, Ohio and TuscValley Financial, Inc. in New Philadelphia, Ohio"
FMBL,FRMRS&MER BK LONG BCH CAL,OTCQX U.S.,7725.0,,0,Common Stock,USA,California,"982,186,365","6029 - Commercial banks, misc","Founded in Long Beach in 1907 by C.J. Walker, Farmers & Merchants Bank provides white-glove service to clients at 25 branches from San Clemente to Santa Barbara, as well as through its Online and Mobile Banking platforms. The Bank offers commercial and small business banking, business loan programs, home loans, and a robust offering of consumer retail banking products, including checking, savings and youth accounts. Farmers & Merchants Bank is a California state-chartered bank with deposits insured by the Federal Deposit Insurance Corporation (Member FDIC) and an Equal Housing Lender. For more information about F&M, please visit the website, www.fmb.com."
FABP,FRMRS BANCORP (IND),Pink Current,46.0,,0,Common Stock,USA,Indiana,"96,444,385",6022 - State commercial banks,"The Farmers Bank is locally owned and operated with 10 banking offices located in Central Indiana providing retail, business, trust and asset management, investment, mortgage, and electronic banking services."
FSCR,FEDERAL SCREW WORKS,Pink Current,6.91,,0,Common Stock,USA,Michigan,"9,546,821",3451 - Screw machine products,Manufacturer of Industrial Component Parts
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,23.1,-0.8584,1221,Common Stock,USA,Michigan,"103,777,549",6022 - State commercial banks,"Fentura Financial, Inc. is a bank holding company headquartered in Fenton, Michigan. Its wholly owned banking subsidiary, The State Bank, is also headquartered in Fenton with offices serving Fenton, Holly, Linden, Grand Blanc, Brighton, Birch Run, St. Charles, New Lothrop, Chesaning, Montrose, Thomas Township, Saginaw, Farmington Hills, Munith, Stockbridge and Grass Lake. The Bank offers comprehensive financial services including commercial, consumer, mortgage, trust and financial planning services, and deposit products. The Bank proudly provides services from its community offices in Genesee, Ingham, Jackson, Livingston, Oakland, Saginaw and Shiawassee Counties and through on-line and mobile banking services."
FBSI,FIRST BANCSHS INC MO,OTCQX U.S. Premier,18.25,,0,Common Stock,USA,Missouri,"43,922,484","6036 - Savings institutions, except federal","First Bancshares, Inc. is the holding company for Stockmens Bank, a FDIC-insured commercial bank chartered by the State of Colorado that conducts business from its home office in Colorado Springs, Colorado, and nine full service Missouri offices in Mountain Grove, Marshfield, Ava, Kissee Mills, Gainesville, Sparta,
Crane, Hartville and Springfield, and a full service office in Bartley, Nebraska."
FBTT,FIRST BANKERS TRUSTSHARES,OTCQB,27.3,-2.4652,300,Common Stock,USA,Illinois,"75,010,873","6029 - Commercial banks, misc","First Bankers Trustshares, Inc. is a bank holding company for First Bankers Trust Company, N.A., FBIL Statutory Trust II and FBIL Statutory Trust III. The Company was incorporated on August 25, 1988 and is headquartered in Quincy, Illinois. Its mission. First Bankers Trust Company, N.A. (the Bank) is a community-oriented financial institution which traces its beginnings to 1946, operates in 9 banking facilities in 5 counties in central and western Illinois. FBIL II and FBIL III were capitalized in 2003 and 2004, respectively, for the purpose of issuing Company Obligated Mandatorily Redeemable Preferred Securities."
FCNCB,FIRST CTZNS BANCSHS B,Pink Current,749.0,,0,Common Stock,USA,North Carolina,"741,826,530",6022 - State commercial banks,"First Citizens Bank, first known as the Bank of Smithfield, opened on March 1, 1898. A growing agricultural economy and strong leadership led the bank into new markets over the years, yet our hands-on personal approach to banking never wavered. It is this commitment that continues to set us apart with our customers and within the industry.

Even as the banking industry changes, First Citizens is anchored by century-long traditions of integrity, common sense and consistency. Our focus is - and has always been - on individuals and small to medium-sized businesses. Our exceptional service, long-term perspective and high level of experience haven't changed, but each year we find new and innovative ways to meet your needs. We'll be here for you, today and in the years to come."
FCIC,FCCC INC,OTCQB,1.65,,0,Common Stock,USA,California,"3,703,294",6770 - Blank Checks,"FCCC, Inc founded in 1960, has witnessed milestones in the development of the American economy. In April of this year, American public investment co, several new shareholders, owns such This QB shell company. Now a non-operating listed company. The new board of directors is undergoing normal operation and management. Disclosure will be made after the completion of the new performance audit."
FKYS,FIRST KEYSTONE CORP,Pink Current,22.75,4.5977,496,Common Stock,USA,Pennsylvania,"128,599,262",6022 - State commercial banks,Not available
FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,246.95,0.4066,28,Common Stock,USA,Alaska,"761,667,511",6021 - National commercial banks,"Alaska's community bank since 1922, First National proudly helps Alaskans shape a brighter tomorrow by providing banking services to meet their needs across the state, nation, and around the world. With 28 locations in 19 communities throughout Alaska, we provide deposit, lending, treasury management, wealth management, and digital banking solutions to meet the financial needs of individuals, businesses, and corporations. In 2021, American Banker recognized First National as a ""Best Bank to Work For"" for the fourth year in a row, and Anchorage Daily News readers voted the bank one of the state's top three financial institutions for the third year in a row in the ADN ""Best of Alaska"" Awards. In 2022, Alaska Business readers voted the bank the ""Best of Alaska Business"" in the Best Place to Work category for the seventh year in a row and Best Bank/Credit Union for a second time. On January 30, 2022, First National celebrated 100 years in business. We are proud to be one of the few Alaskan-owned businesses to reach this milestone."
ELMA,ELMER BANCORP INC,Pink Current,17.55,,0,Common Stock,USA,New Jersey,"20,180,571","6029 - Commercial banks, misc",The First National Bank of Elmer - A Community National Bank
FINN,FIRST NATL OF NEB INC,Pink Current,13850.0,0.0,2,Common Stock,USA,Nebraska,"3,429,109,580",6712 - Bank holding companies,First National of Nebraska is a financial holding company.
FLEW,FLEETWOOD BANK CORP,Pink Current,61.0,,0,Common Stock,USA,Pennsylvania,"19,707,706",6021 - National commercial banks,Financial Services Company Providing Retail and Commercial Banking Services.
HCBN,HCB FINCL CORP,Pink Current,26.0,,0,Common Stock,USA,Michigan,"26,951,600",6022 - State commercial banks,Not available
HFBA,HFB FINANCIAL CORP,Pink Current,32.49,,0,Common Stock,USA,Kentucky,"38,868,653",6021 - National commercial banks,HFB Financial Corporation is the single-bank Holding Company for Hearthside Bank Corporation
HMLN,HAMLIN BK&TR SMETHPORT PA,Pink Current,275.0,,0,Common Stock,USA,Pennsylvania,"100,290,300",6022 - State commercial banks,State Chartered Commercial Bank
HFBK,HARFORD BK ABERDEEN MD,Pink Current,32.0,2.4,110,Common Stock,USA,Maryland,"46,538,875",6022 - State commercial banks,"Harford Bank conducts general commercial and retail banking activities in its primary service areas, emphasizing the banking needs of individuals and small to medium sized businesses and professional concerns."
